"Scale","term","estimate","std.error","p.value","conf.low","conf.high","R2","Adj_R2"
"100 ha","SR_interpolated_norm",-0.0615297249579828,0.109639844526185,0.575846662567867,-0.278901380495993,0.155841930580028,0.192740153294542,0.169893176500991
"100 ha","delta_Gini_spatial_interpolated_norm",-0.396139024994192,0.103635643932826,0.000223297872644886,-0.601606768876716,-0.190671281111667,0.192740153294542,0.169893176500991
"100 ha","Gini_size_interpolated_norm",-0.207069042903669,0.095088437233104,0.031649526755917,-0.395591118187582,-0.0185469676197565,0.192740153294542,0.169893176500991
"25 ha","SR_interpolated_norm",-0.1059304454174,0.0597568055950268,0.0770914182708907,-0.223430859435996,0.0115699686011953,0.146104007168405,0.139272839225753
"25 ha","delta_Gini_spatial_interpolated_norm",-0.333951634685596,0.056749535317856,8.8508802870306e-09,-0.445538822601911,-0.22236444676928,0.146104007168405,0.139272839225753
"25 ha","Gini_size_interpolated_norm",-0.184659428374837,0.0526638809700431,0.000509284620445247,-0.288212952633521,-0.0811059041161523,0.146104007168405,0.139272839225753
