"id","mean"
1,NA
2,NA
3,40.2683569335938
4,43.539270401001
5,47.6123064617778
6,49.8706820452655
7,42.6980583884499
8,35.4139214792559
9,31.3621756235758
10,40.1572815964862
11,42.8452934100304
12,46.3382564868802
13,49.1663646697998
14,50.5469763176293
15,50.3556286162394
16,47.9741319898742
17,42.8683007892809
18,35.4170116848416
19,29.2958929991919
20,23.8567190170288
21,40.3595767910198
22,42.7572987874349
23,45.7592631152076
24,47.9194369316101
25,49.2700509318599
26,49.2204819722892
27,47.39231707726
28,43.0613693778898
29,37.0089627184899
30,30.6318410944056
31,25.4690261327303
32,22.9900911209431
33,23.8578686184353
34,26.4672142477596
35,47.6291225978306
36,49
37,48.5255261698077
38,46.7085255556001
39,43.646579418307
40,39.830155026129
41,35.605564958909
42,31.1641912709654
43,27.8586977109042
44,28.287729356522
45,31.5857099805559
46,37.2940915425619
47,51.4985627870302
48,49.0953933554636
49,45.9397905349731
50,47
51,46.099220485072
52,43.9052611103764
53,41.9503676719915
54,40.1012980260967
55,38.0593623526302
56,36.2181412441279
57,36.5137464558637
58,38.854939578492
59,42.4265861820113
60,45.9055815319087
61,48.666089311916
62,49.134387618617
63,48.9293913752396
64,47.1909460844817
65,44.9689561050304
66,42.9323596000671
67,NA
68,45.6415617465973
69,44.5584255736551
70,42.8377978477949
71,42.1401491975473
72,42.1878260388786
73,42.2162439087291
74,41.6920157663183
75,41.9416786829631
76,43.0405628063061
77,44.3641947203991
78,45.6409033316153
79,46.4033867753582
80,46.3556756536945
81,45.7698114889639
82,44.9724590866654
83,44.1394409603543
84,43.3509499330698
85,43
86,44.8039213552983
87,43.2341552523181
88,41.0795834859212
89,39.3995802386913
90,38.8475846815274
91,39.0233901030098
92,39.4066854115405
93,39.6316620585828
94,40.151561001547
95,40.8162467806947
96,41.4205725778758
97,41.7405384911431
98,41.7222081726673
99,41.2644726974329
100,40.8673525666879
101,40.6729598699832
102,40.832933142111
103,41.1973003811306
104,42.0705295409132
105,43.3442558519768
106,49.9038654963175
107,45.4937010159458
108,42.0361874103546
109,38.8034693898718
110,36.4003580234669
111,34.6439518987397
112,33.7889763763527
113,33.6063376414923
114,33.866315300082
115,34.5586861379785
116,35.4132915127662
117,36.0743688228379
118,36.255459317974
119,35.9508624488925
120,35.362135110078
121,34.6653852774427
122,34.681242024457
123,35.3930184517378
124,36.6366724251142
125,38.1531118110374
126,40.1076203569954
127,43.6789203906881
128,46.8509545209931
129,49.4678430718891
130,44.097662066236
131,38.3568406281648
132,34.5843619739308
133,32.1026743959498
134,30.5633232210889
135,29.9925014520782
136,30.2194035377031
137,31.3919302151527
138,32.8890243607598
139,33.9628947361763
140,34.0618351604922
141,33.851501888699
142,33.4995154745785
143,33.1117157170802
144,33.1509208928526
145,34.6053572289738
146,36.1398640738593
147,38.0725475386077
148,38.7634683302891
149,38.2314258387059
150,38.742127075694
151,41.5258253346319
152,45.2997646019107
153,42.9133959960937
154,38.8511552499011
155,33.351614335004
156,29.8975205536945
157,27.8944644927979
158,26.9491423376245
159,26.8737156283897
160,27.836822410035
161,30.5402544092249
162,35.1050559524941
163,36.203658401757
164,34.7118836945178
165,33.1363784235654
166,33
167,33.1066291659486
168,34.6491949352014
169,38.9630464541367
170,41.9257076612485
171,44.8342932334821
172,43.4098064198213
173,38.4312547546586
174,34.6117896505706
175,33.741538820703
176,36.5290694424159
177,37.6553064982096
178,36.4644966125488
179,32.0888838286184
180,27.4328884960693
181,24.5907636779586
182,23.1691813499305
183,22.9828916267367
184,23.3295312656297
185,24.6778087077843
186,28.3816758063104
187,34.1532873766763
188,36.5116036615254
189,35.2321055612446
190,33.7394754621718
191,33.8079154991809
192,34.880566008297
193,37.3936514386944
194,42.9171347794709
195,46.1748849138801
196,48.7324737224704
197,45.9479671760842
198,38.6740036834905
199,33.0888449787314
200,31.0054382335992
201,33.3017912596659
202,38.1838809710283
203,27.1975176674979
204,22.2506834080345
205,20.0798643971537
206,19.1106804609299
207,20.1350776258721
208,21.427296493013
209,25.0194097448278
210,30.4335667541604
211,34.3666942855458
212,35.9980657601062
213,36.6894351485508
214,37.6038842613314
215,38.3608206996211
216,39.6049210043514
217,43.2453942710971
218,45.2442589277103
219,46.0784909616109
220,44.4217495977143
221,39.474522649506
222,34.7356863956825
223,32.4140912927227
224,33.4350654252993
225,38.1289109595028
226,43.3645360880885
227,19.9227471351624
228,18.4057355880737
229,16.5295020956742
230,17.9113113411137
231,21.5582064698074
232,26.5052129818081
233,32.1113950130986
234,36.8561764012754
235,40.4226509279033
236,42.1309039670657
237,41.4467583325953
238,40.0890183102301
239,41.0605556014317
240,42.3761637943243
241,43.1486333959243
242,42.9891223408817
243,40.505455702738
244,37.0022677385271
245,34.7780105740416
246,34.519464301403
247,37.3914900262371
248,42.8379884641269
249,45.9909706115723
250,15.4360224455595
251,18.5695076724629
252,23.5747759949927
253,29.712809857027
254,35.8708070060353
255,40.8316494561488
256,42.8853713612498
257,41.2573844768383
258,38.6111276788649
259,37.87493265411
260,39.3877681214132
261,41.6916082294938
262,42.8502536703039
263,41.132417196109
264,38.429305070366
265,36.3380030526055
266,35.5332960614971
267,36.6979524942092
268,39.6823361754048
269,41.2542344411214
270,14.0550654729207
271,16.9687794153808
272,20.8186431235455
273,26.3943649044743
274,32.4540786566558
275,37.4985979491589
276,39.6852133715594
277,38.50625298347
278,36.1689454496296
279,35.0649277722394
280,36.727253207454
281,40.0363445281982
282,42.0198283489839
283,41.3005145626304
284,39.1683287776374
285,37.2940512527654
286,36.0649361579247
287,36.2543104313038
288,37.3549240086958
289,39.353520711263
290,15.2256291707357
291,17.0165784008363
292,22.1205710794443
293,28.2696277568049
294,33.7075455146328
295,36.1480253755657
296,35.828525057026
297,34.444506186515
298,33.9474992814407
299,35.3490478665221
300,38.5463191101708
301,40.5868082233504
302,40.1909531736686
303,38.7096903711867
304,37.2609666811874
305,36.2081429372609
306,36
307,36.1528219200042
308,16.2498472001817
309,19.387793213129
310,24.2000597000122
311,32.58270853216
312,33.0337567173578
313,32.9979772627354
314,33.1294650158851
315,33.2570042786775
316,34.6971831969273
317,36.8594929688896
318,38.1921100498718
319,38.0359965077153
320,37.1171612209744
321,36.1001422552415
322,35.4622918297263
323,35.2941201608392
324,31.255898376991
325,31.933966419153
326,32.47944692155
327,33.6426821696905
328,35.0040113162371
329,35.9979504479302
330,36.2654199247007
331,35.7535462472953
332,35.0902552428069
333,35
334,35
335,27.8893982696533
336,29.6103234696232
337,31.5982743680867
338,33.1576400215651
339,34.2969564889607
340,34.89687908397
341,35
342,35
343,35.0052825769339
344,35
345,34.9720188407011
346,23.9610395142526
347,25.9601760681938
348,28.3160246587863
349,30.7580104433257
350,32.6588408912768
351,33.902734403257
352,35.0132150961683
353,35.7522392272949
354,36.2006148170022
355,35.8705728201219
356,35.1194299308999
357,NA
358,26.4372511545817
359,30.9201334670738
360,33.0857700181138
361,35.0877593138037
362,36.9080508196795
363,37.7772245687597
364,37.6829362563145
365,36.1710485646754
366,33.7755562017772
367,31.1153891549182
368,35.0966538601234
369,37.9701636841423
370,39.3439840286497
371,39.8725628634112
372,39.2504718880248
373,36.4519758691321
374,32.3956858634949
375,29.9363547105056
376,34.4796996938771
377,37.1612506722504
378,40.8242844420594
379,38.7503965845648
380,36.0167282381206
381,34.123889562246
382,38.8435821533203
383,37.3721929277693
